choice_time,element,entry,entry_name,id_x,index,league,pick,player_first_name,player_last_name,round,seconds_to_pick,was_auto,id_y,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,yellow_cards,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,added,chance_of_playing_next_round,chance_of_playing_this_round,code,draft_rank,dreamteam_count,ep_next,ep_this,event_points,first_name,form,in_dreamteam,news,news_added,news_return,news_updated,points_per_game,second_name,squad_number,status,total_points,web_name,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,element_type,team,position_points_rank,pick_order,position_pick_order,points_vs_position_pick,points_vs_position_pick_rank,all_players_position_points_rank,all_players_points_vs_position_pick,all_players_points_vs_position_pick_rank
,,,,,,,,,,,,,29,1,2,101,1,95.8,6,2,40.8,142.0,440,0,0,0,0,0,171.0,3,2,1.53,0.36,1.89,4.14,2024-07-17T10:20:02.517053Z,100.0,100.0,88894,120,0,,,1,Ross,3.0,False,,2024-11-01T16:30:07.356966Z,,,2.2,Barkley,,a,27,Barkley,208,85,182,118,84,51,162,93,,,,,,,,,,,3,2,,,,,,92.0,,
,,,,,,,,,,,,,30,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2024-07-17T10:20:02.518244Z,0.0,0.0,491287,303,0,,,0,Enzo,0.0,False,Loaned to Valencia CF,2024-08-31T06:33:47.934620Z,,,0.0,Barrenechea,,u,0,Barrenechea,664,298,658,298,654,296,664,298,,,,,,,,,,,3,2,,,,,,231.0,,
,,,,,,,,,,,,,31,0,0,24,0,19.2,0,0,2.9,7.0,37,0,0,0,0,0,3.0,1,0,0.09,0.02,0.11,1.11,2024-07-17T10:20:02.519184Z,,,195546,156,0,,,0,Emiliano,0.5,False,,,,,0.9,Buendía Stati,,a,6,Buendia,430,205,328,185,379,203,412,199,,,,,,,,,,,3,2,,,,,,184.0,,
,,,,,,,,,,,,,32,0,0,82,1,38.7,8,1,20.6,135.4,650,0,0,0,0,0,32.0,3,8,0.05,0.18,0.23,8.14,2024-07-17T10:20:02.520295Z,100.0,100.0,199796,409,0,,,0,Matty,2.0,False,,2024-11-04T00:00:07.281139Z,,,2.3,Cash,,a,21,Cash,215,83,286,83,265,81,272,88,,,,,,,,,,,2,2,,,,,,66.0,,
,,,,,,,,,,,,,33,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2024-07-17T10:20:02.521310Z,0.0,0.0,151589,471,0,,,0,Leander,0.0,False,On loan to Anderlecht for the rest of the season,2024-09-02T10:45:36.198316Z,,,0.0,Dendoncker,,u,0,Dendoncker,580,237,575,241,556,233,582,239,,,,,,,,,,,3,2,,,,,,232.0,,
,,,,,,,,,,,,,34,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2024-07-17T10:20:02.522291Z,0.0,0.0,243557,48,0,,,0,Moussa,0.0,False,Permanent transfer to Al Ittihad,2024-07-26T08:50:40.300928Z,,,0.0,Diaby,,u,0,Diaby,691,315,691,315,691,315,691,315,,,,,,,,,,,3,2,,,,,,233.0,,
,,,,,,,,,,,,,35,0,1,58,2,7.4,11,0,16.5,104.4,648,0,0,0,0,0,52.0,1,6,0.64,0.06,0.70,8.97,2024-07-17T10:20:02.523540Z,100.0,100.0,165659,418,0,,,7,Diego Carlos,1.8,False,,2024-09-25T21:30:06.256588Z,,,2.4,Santos Silva,,a,19,Diego Carlos,256,97,377,124,225,66,303,98,,,,,,,,,,,2,2,,,,,,74.0,,
,,,,,,,,,,,,,36,3,6,190,2,344.8,18,0,67.7,258.0,1073,0,0,0,0,0,73.0,3,13,0.54,2.30,2.84,13.78,2024-07-17T10:20:02.524450Z,,,101188,380,0,,,1,Lucas,1.2,False,,,,,2.8,Digne,,a,42,Digne,89,31,26,4,191,44,63,9,,,,,,,,,,,2,2,,,,,,22.0,,
,,,,,,,,,,,,,37,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2024-07-17T10:20:02.525517Z,0.0,0.0,461421,285,0,,,0,Lewis,0.0,False,Permanent transfer to West Bromwich Albion,2024-08-07T08:21:33.016106Z,,,0.0,Dobbin,,u,0,Dobbin,673,304,669,304,666,302,673,304,,,,,,,,,,,3,2,,,,,,234.0,,
,,,,,,,,,,,,,38,0,8,172,0,60.1,10,5,51.4,206.6,405,0,0,0,0,0,246.0,2,1,4.00,0.21,4.21,7.19,2024-07-17T10:20:02.526568Z,,,476344,89,0,,,8,Jhon,2.5,False,,,,,2.7,Durán,,a,41,Duran,138,17,237,29,48,19,113,20,,,,,,,,,,,4,2,,,,,,20.0,,
,,,,,,,,,,,,,39,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2024-07-17T10:20:02.527623Z,,,462492,616,0,,,0,Joe,0.0,False,,,,,0.0,Gauci,,a,0,Gauci,510,57,490,36,454,26,512,57,,,,,,,,,,,1,2,,,,,,36.0,,
,,,,,,,,,,,,,40,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2024-07-17T10:20:02.528632Z,,,123354,617,0,,,0,Kortney,0.0,False,,,,,0.0,Hause,,a,0,Hause,483,167,461,165,424,149,485,167,,,,,,,,,,,2,2,,,,,,162.0,,
,,,,,,,,,,,,,41,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2024-07-17T10:20:02.529414Z,0.0,0.0,469247,157,0,,,0,Samuel,0.0,False,Season long loan to Bologna,2024-08-29T11:07:04.555253Z,,,0.0,Iling-Junior,,u,0,Iling Jr,684,311,683,311,681,309,684,311,,,,,,,,,,,3,2,,,,,,235.0,,
,,,,,,,,,,,,,42,0,0,44,1,20.3,6,0,6.1,37.6,253,0,0,0,0,0,2.0,1,3,0.00,0.06,0.06,2.95,2024-07-17T10:20:02.530108Z,100.0,100.0,226944,262,0,,,3,Boubacar,1.8,False,,2024-11-11T16:00:06.089849Z,,,1.5,Kamara,,a,9,Kamara,359,166,327,184,399,213,380,185,,,,,,,,,,,3,2,,,,,,166.0,,
,,,,,,,,,,,,,43,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2024-07-17T10:20:02.531100Z,0.0,0.0,465390,610,0,,,0,Kaine,0.0,False,Has joined Preston North End for the rest of the season,2024-08-09T11:14:21.895838Z,,,0.0,Kesler-Hayden,,u,0,Kesler-Hayden,513,181,493,179,457,164,515,181,,,,,,,,,,,2,2,,,,,,163.0,,
2024-08-13T20:01:14.602229Z,44,228518.0,Boom Boom Eagle FC,3320927.0,92.0,48142.0,2.0,Sam,Thorpe,11.0,,False,44,0,3,151,1,59.7,20,1,32.8,208.8,1091,0,0,0,0,0,59.0,0,13,0.35,0.35,0.70,14.26,2024-07-17T10:20:02.532067Z,100.0,100.0,199798,378,0,,,8,Ezri,2.8,False,,2024-11-21T08:30:08.587167Z,,,2.4,Konsa Ngoyo,,a,31,Konsa,135,54,238,62,214,58,203,61,,,,,,,,,,,2,2,25.0,92.0,25.0,0.0,21.0,47.0,-22.0,24.0
2024-08-13T20:02:05.673321Z,45,283372.0,CripplingHannover96,3320929.0,94.0,48142.0,4.0,Ryan,McIntyre,11.0,,False,45,0,0,41,0,129.5,5,0,24.9,65.0,281,0,0,0,0,0,54.0,1,2,0.08,0.87,0.95,4.01,2024-07-17T10:20:02.533159Z,100.0,100.0,441302,294,0,,,1,Ian,0.5,False,,2024-11-14T10:00:07.838636Z,,,0.9,Maatsen,,a,11,Maatsen,316,109,142,28,221,64,251,81,,,,,,,,,,,2,2,39.0,94.0,27.0,-12.0,36.0,103.0,-76.0,38.0
,,,,,,,,,,,,,46,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2024-07-17T10:20:02.534096Z,0.0,0.0,462381,618,0,,,0,Filip,0.0,False,Has joined MK Dons for the rest of the season,2024-07-18T09:50:40.812599Z,,,0.0,Marschall,,u,0,Marschall,509,56,489,35,453,25,511,56,,,,,,,,,,,1,2,,,,,,37.0,,
2024-08-13T19:50:42.170731Z,47,324701.0,Eleven Hags,3320897.0,62.0,48142.0,8.0,Liam,Thaker,7.0,,False,47,0,2,163,2,0.0,22,0,31.6,315.8,1305,0,0,1,0,34,0.0,1,15,0.00,0.01,0.01,16.88,2024-07-17T10:20:02.536096Z,100.0,100.0,98980,196,0,,,6,Emiliano,2.8,False,,2024-12-02T00:00:07.797146Z,,,2.9,Martínez Romero,,a,43,Martinez,45,13,662,69,659,67,209,13,,,,,,,,,,,1,2,9.0,62.0,5.0,-4.0,14.0,10.0,-5.0,11.0
,,,,,,,,,,,,,48,1,0,113,3,191.6,15,0,39.3,66.8,886,0,0,0,0,0,133.0,2,11,1.82,1.25,3.07,11.21,2024-07-17T10:20:02.537309Z,100.0,100.0,122806,109,0,,,3,John,3.0,False,,2024-09-21T20:30:05.276348Z,,,2.1,McGinn,,a,27,McGinn,312,147,83,65,113,73,169,96,,,,,,,,,,,3,2,,,,,,93.0,,
,,,,,,,,,,,,,49,0,0,13,0,0.7,1,0,3.3,20.6,90,0,0,0,0,0,12.0,0,1,0.16,0.01,0.17,1.03,2024-07-17T10:20:02.538120Z,100.0,100.0,149484,514,0,,,0,Tyrone,0.5,False,,2024-08-05T15:00:04.309727Z,,,2.0,Mings,,a,2,Mings,394,137,425,153,324,107,406,139,,,,,,,,,,,2,2,,,,,,136.0,,
,,,,,,,,,,,,,50,0,0,13,0,6.3,2,0,2.9,22.2,93,0,0,0,0,0,0.0,0,0,0.00,0.02,0.02,1.84,2024-07-17T10:20:02.539452Z,,,578545,619,0,,,0,Kosta,0.0,False,,,,,1.0,Nedeljković,,a,3,Nedeljkovic,387,135,384,128,485,187,409,141,,,,,,,,,,,2,2,,,,,,129.0,,
,,,,,,,,,,,,,51,0,0,3,0,0.0,1,0,1.8,17.6,45,0,0,0,0,2,0.0,0,0,0.00,0.00,0.00,0.79,2024-07-17T10:20:02.540416Z,100.0,100.0,111782,473,0,,,0,Robin,0.2,False,,2024-10-18T16:30:05.894923Z,,,1.0,Olsen,,a,1,Olsen,400,33,574,62,554,55,434,33,,,,,,,,,,,1,2,,,,,,33.0,,
2024-08-13T20:01:09.449220Z,52,184679.0,Kernowfornia United,3320926.0,91.0,48142.0,1.0,Scott,Renfree-Tuck,11.0,,False,52,0,0,138,2,47.5,22,0,29.3,193.0,1260,0,0,0,0,0,52.0,1,14,0.28,0.31,0.59,16.64,2024-07-17T10:20:02.541200Z,100.0,100.0,244954,381,0,,,6,Pau,2.0,False,,2024-11-13T15:00:07.856081Z,,,1.9,Torres,,a,27,Pau,153,60,266,71,224,65,223,69,,,,,,,,,,,2,2,28.0,91.0,24.0,-4.0,29.0,57.0,-33.0,27.0
,,,,,,,,,,,,,53,2,0,118,0,122.1,14,0,33.7,99.4,632,0,0,0,0,0,113.0,1,7,0.69,1.17,1.86,9.42,2024-07-17T10:20:02.542101Z,0.0,0.0,232653,148,0,,,0,Jacob,0.0,False,Hamstring injury - Expected back 21 Dec,2024-11-10T23:00:07.265497Z,,,2.2,Ramsey,,i,22,Ramsey,265,118,153,102,131,85,199,104,,,,,,,,,,,3,2,,,,,,112.0,,
2024-08-13T19:49:19.213841Z,54,283372.0,CripplingHannover96,3320893.0,58.0,48142.0,4.0,Ryan,McIntyre,7.0,,False,54,2,6,195,2,316.0,17,4,86.6,277.2,1221,0,0,0,0,0,271.0,4,15,3.09,2.41,5.50,14.45,2024-07-17T10:20:02.543191Z,100.0,100.0,244850,268,0,,,2,Morgan,3.5,False,,2024-11-04T00:00:07.298201Z,,,3.9,Rogers,,a,59,Rogers,74,25,32,27,42,26,32,22,,,,,,,,,,,3,2,12.0,58.0,23.0,11.0,10.0,18.0,5.0,7.0
,,,,,,,,,,,,,55,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,2024-07-17T10:20:02.544213Z,0.0,0.0,248164,620,0,,,0,Viljami,0.0,False,Permanent transfer to Celtic,2024-07-18T09:43:21.242291Z,,,0.0,Sinisalo,,u,0,Sinisalo,500,51,479,29,443,19,502,51,,,,,,,,,,,1,2,,,,,,38.0,,
